field_goals_attempted,field_goal_percentage,field_goal_3_attempted,field_goal_3_percentage,free_throws_made,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,points_allowed,points
84,0.548,33,0.394,15,2,30,29,10,3,7,109.0,120
92,0.478,26,0.269,16,9,36,20,6,11,10,100.0,111
95,0.505,34,0.412,17,10,24,31,8,5,10,121.0,127
96,0.448,24,0.417,15,12,37,23,5,3,15,118.0,111
95,0.484,31,0.258,18,8,44,26,5,7,12,111.0,118
76,0.408,33,0.394,16,8,34,21,8,4,16,90.0,91
93,0.495,24,0.375,10,10,33,23,5,8,12,114.0,111
88,0.523,23,0.348,12,6,41,23,5,6,10,109.0,112
75,0.507,22,0.364,24,10,36,24,9,8,21,102.0,108
97,0.433,27,0.259,9,7,32,22,12,2,15,119.0,100
78,0.5,31,0.484,23,6,34,22,9,5,13,111.0,116
82,0.427,34,0.265,27,8,31,12,7.0,5,8,110.0,106
95,0.295,39,0.231,29,20,37,14,6.0,7,12,102.0,94
79,0.418,21,0.238,30,6,32,21,2.0,3,9,128.0,101
80,0.463,27,0.333,18,15,35,23,5.0,3,18,109.0,101
87,0.563,38,0.474,18,8,43,31,8.0,4,16,96.0,134
84,0.464,40,0.425,26,9,38,27,9.0,10,17,125.0,121
93,0.495,33,0.455,10,11,23,28,5.0,4,8,130.0,117
97,0.485,30,0.467,13,14,34,24,6.0,3,15,124.0,121
93,0.409,29,0.276,24,15,36,19,4.0,4,9,101.0,108
82,0.463,29,0.379,20,6,35,27,11.0,4,14,98.0,107
87,0.529,31,0.452,26,8,27,26,6.0,6,13,130.0,132
93,0.495,25,0.36,20,20,35,20,6.0,5,21,127.0,121
114,0.368,37,0.297,20,20,47,25,8.0,6,11,118.0,115
94,0.383,42,0.357,10,10,46,27,10.0,7,18,102.0,97
81,0.432,30,0.333,10,7,37,26,9.0,6,16,82.4,90
83,0.506,33,0.424,26,13,37,28,7.0,4,13,106.0,124
